treatment;replicate;date_intervention;hour_intervention;height;inside_water_ml;outsite_water_ml;date_observation;hour_observation;visible_cicada;rec_height;status;obs
sealing;p1;18/jul;16:35;21.2;NA;NA;19/jul;09:20;1;3;1;
sealing;p2;18/jul;14:47;8.5;NA;NA;19/jul;NA;NA;NA;NA;eaten
sealing;p3;18/jul;15:19;34.2;NA;NA;19/jul;08:45;0;7;1;
sealing;p4;18/jul;15:12;15.8;NA;NA;19/jul;08:59;1;2.5;1;
control;p5;18/jul;15:15;22.3;NA;NA;19/jul;09:01;1;4;1;
control;p6;18/jul;15:16;12;NA;NA;19/jul;09:04;0;2;1;
sealing;p7;18/jul;17:00;30;NA;NA;19/jul;09:09;0;NA;0;
water;p8;18/jul;15:25;4.5;260;250;19/jul;08:42;0;5;1;
water;p9;18/jul;16:44;45;2000;250;19/jul;09:15;0;2;1;It opened when water was poured out
water;p10;18/jul;16:34;18;2000;250;19/jul;09:17;0;NA;0;did not waterlogged
control;p11;18/jul;15:33;9.3;NA;NA;19/jul;08:50;1;3;1;
water;p12;18/jul;15:35;38.3;1000;250;19/jul;08:54;0;NA;0;It opened when water was poured out
control;p14;18/jul;16:54;16.8;NA;NA;19/jul;09:07;0;4.5;1;
control;p15;18/jul;17:02;33.1;NA;NA;19/jul;09:11;1;5.5;1;
water;p16;18/jul;16:07;7.5;50;250;19/jul;09:40;1;NA;0;
sealing;p17;18/jul;15:58;23.5;NA;NA;19/jul;09:24;1;6;1;
control;p18;18/jul;16:05;47;NA;NA;19/jul;09:33;1;2;1;
water;p19;18/jul;15:51;29.8;1150;250;19/jul;09:26;1;1.5;1;
sealing;p20;18/jul;16:12;25.6;NA;NA;19/jul;09:42;0;6.3;1;
sealing;p21;18/jul;16:20;24;NA;NA;19/jul;09:45;1;4.5;1;
water;p22;18/jul;16:25;18.7;400;250;19/jul;09:53;1;4;1;
water;p23;18/jul;16:15;36.3;200;250;19/jul;09:49;1;1;1;
control;p25;18/jul;16:02;12.5;NA;NA;19/jul;09:28;1;3.5;1;
control;p26;18/jul;16:29;21.2;NA;NA;19/jul;09:54;0;0;1;termites presence
sealing;p27;18/jul;16:04;12.5;NA;NA;19/jul;09:30;1;0;1;
control;p28;18/jul;16:32;23.8;NA;NA;19/jul;09:21;1;5;1;
water;p30;18/jul;16:57;21;2000;250;19/jul;09:06;0;5.7;1;
control;nc1;NA;NA;17;NA;NA;19/jul;10:09;1;4.5;1;
control;nc2;NA;NA;16.7;NA;NA;19/jul;10:15;1;1.7;1;
control;nc3;NA;NA;30.8;NA;NA;19/jul;10:11;1;3.9;1;
control;nc4;NA;NA;33.4;NA;NA;19/jul;10:18;0;NA;NA;
